Date,^KLSE;1=9,5183.KL,4707.KL,5225.KL,5347.KL,1082.KL,1155.KL,1295.KL,7277.KL,3816.KL,3034.KL,1961.KL,5285.KL,5296.KL,5819.KL,3182.KL,8869.KL,1066.KL,5681.KL,6947.KL,6888.KL,4715.KL,6033.KL,4197.KL,5168.KL,2445.KL,4863.KL,1023.KL,7113.KL,4065.KL,6012.KL
2010-01-04,1275.75,,23.52313804626465,,4.550262928009033,5.577476978302002,3.3203775882720947,1.3762348890304565,0.3735540211200714,5.790330410003662,0.37381258606910706,3.9658594131469727,,,5.471133232116699,5.835626125335693,0.08685001730918884,3.2722115516662598,6.149261951446533,1.236323595046997,2.3101422786712646,1.929012656211853,6.352138519287109,1.569703459739685,0.36431774497032166,12.527176856994629,1.8890573978424072,4.303439140319824,0.2926788628101349,10.274053573608398,3.0762135982513428
2010-01-05,1288.239990234375,,23.814756393432617,,4.544847011566162,5.584894180297852,3.3397376537323,1.3958956003189087,0.3735540211200714,5.790330410003662,0.3768764138221741,4.0601115226745605,,,5.517781734466553,5.952962875366211,0.09040935337543488,3.26607346534729,6.093360424041748,1.23178231716156,2.3327174186706543,1.9827829599380493,6.306765556335449,1.5871638059616089,0.36490580439567566,12.785310745239258,1.9200252294540405,4.343596458435059,0.29326120018959045,10.428162574768066,3.0819408893585205
2010-01-06,1293.1700439453125,,23.953609466552734,,4.5231781005859375,5.651646137237549,3.3397376537323,1.3983533382415771,0.3763411343097687,5.817546367645264,0.3768764138221741,4.0166096687316895,,,5.504451751708984,6.023366928100586,0.09183306246995926,3.2844905853271484,6.135284900665283,1.2329182624816895,2.377866506576538,1.9424552917480469,6.352138519287109,1.5889101028442383,0.3948739469051361,12.785310745239258,1.9200252294540405,4.430602550506592,0.29791566729545593,10.466691970825195,3.0819408893585205
2010-01-07,1291.4200439453125,,23.953609466552734,,4.44192361831665,5.525558948516846,3.3300578594207764,1.4008101224899292,0.3735540211200714,5.797132968902588,0.38300439715385437,4.05286169052124,,,5.517781734466553,5.968608856201172,0.08898559212684631,3.2844905853271484,6.135284900665283,1.2351889610290527,2.377866506576538,1.9357341527938843,6.352138519287109,1.5871638059616089,0.39369848370552063,13.058632850646973,1.9262183904647827,4.39713716506958,0.30257081985473633,10.63364315032959,3.059028387069702
2010-01-08,1292.97998046875,,23.953609466552734,,4.44192361831665,5.577476978302002,3.349418878555298,1.4008101224899292,0.3735540211200714,5.7835259437561035,0.3784087300300598,4.05286169052124,,,5.564428806304932,5.898205757141113,0.08827374875545502,3.278351068496704,6.14227294921875,1.244270920753479,2.377866506576538,1.9357341527938843,6.319730758666992,1.5819255113601685,0.3948739469051361,12.937153816223145,1.9262183904647827,4.477450847625732,0.30606207251548767,10.659329414367676,3.053300142288208
2010-01-11,1294.510009765625,,23.412050247192383,,4.431089878082275,5.495891094207764,3.334897518157959,1.403267741203308,0.367978036403656,5.878782749176025,0.372280478477478,4.0601115226745605,,,5.571091651916504,5.788689613342285,0.08827374875545502,3.2599339485168457,6.14227294921875,1.2454062700271606,2.377866506576538,1.9222910404205322,6.378066062927246,1.585417628288269,0.40721380710601807,12.90678596496582,1.9262183904647827,4.51760721206665,0.3130444288253784,10.710697174072266,3.0819408893585205
2010-01-12,1292.8499755859375,,23.56479835510254,,4.436506748199463,5.488474369049072,3.334897518157959,1.403267741203308,0.3707660138607025,5.803937911987305,0.37534433603286743,4.05286169052124,,,5.551100730895996,5.733932018280029,0.08969748020172119,3.278351068496704,6.135284900665283,1.2454062700271606,2.377866506576538,1.9222910404205322,6.319730758666992,1.569703459739685,0.4154396951198578,12.90678596496582,1.9324126243591309,4.524301052093506,0.31711727380752563,10.851966857910156,3.059028387069702
2010-01-13,1289.510009765625,,23.12044334411621,,4.409422397613525,5.473641872406006,3.3252172470092773,1.4008101224899292,0.367978036403656,5.885586261749268,0.37381258606910706,4.031110763549805,,,5.551100730895996,5.780866622924805,0.09183306246995926,3.2599339485168457,6.14227294921875,1.2465413808822632,2.3552913665771484,1.9424552917480469,6.371586799621582,1.564465045928955,0.41661521792411804,12.830863952636719,1.9262183904647827,4.490836143493652,0.3287549316883087,10.839122772216797,3.064755916595459
2010-01-14,1294.7099609375,,23.467592239379883,,4.409422397613525,5.577476978302002,3.334897518157959,1.415555477142334,0.38191697001457214,6.001257419586182,0.37381258606910706,4.031110763549805,,,5.551100730895996,5.866915225982666,0.09254492074251175,3.2967689037323,6.14227294921875,1.2454062700271606,2.377866506576538,1.9424552917480469,6.358621120452881,1.5714493989944458,0.42601677775382996,12.830863952636719,1.9324126243591309,4.490836143493652,0.34155571460723877,10.787757873535156,3.064755916595459
2010-01-15,1298.5799560546875,,23.467592239379883,,4.42567253112793,5.599728584289551,3.3445780277252197,1.430301308631897,0.38191697001457214,6.008063316345215,0.37381258606910706,4.0383620262146,,,5.577755928039551,5.937319278717041,0.09325681626796722,3.2844905853271484,6.14227294921875,1.2431355714797974,2.3853912353515625,1.9424552917480469,6.339174747467041,1.5679570436477661,0.414852499961853,12.846050262451172,1.9386060237884521,4.497528076171875,0.33108213543891907,10.787757873535156,3.0762135982513428
